mapping_id,parent_category,leaf_category,sub_category,etranoulis_taxonomy_path,etranoulis_category_page_url,skroutz_product_url,etranoulis_product_url,etranoulis_category_serialized,notes
52,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ,Κουζίνες,Κουζίνες Κεραμικές,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ > Κουζίνες > Κουζίνες Κεραμικές,https://www.etranoulis.gr/oikiakes-syskeues/kouzines/kouzines-keramikes,,,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Κουζίνες:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Κουζίνες///Κουζίνες Κεραμικές,
53,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ,Κουζίνες,Κουζίνες Εμαγιέ,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ > Κουζίνες > Κουζίνες Εμαγιέ,https://www.etranoulis.gr/oikiakes-syskeues/kouzines/kouzines-emagie,,,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Κουζίνες:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Κουζίνες///Κουζίνες Εμαγιέ,
54,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ,Κουζίνες,Κουζίνες Αερίου,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ > Κουζίνες > Κουζίνες Αερίου,https://www.etranoulis.gr/oikiakes-syskeues/kouzines/kouzines-aeriou,,,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Κουζίνες:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Κουζίνες///Κουζίνες Αερίου,
55,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ,Πλυντήρια Πιάτων,,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ > Πλυντήρια Πιάτων > -,https://www.etranoulis.gr/oikiakes-syskeues/plynthria-piatwn,,,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Πλυντήρια Πιάτων,
56,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ,Πλυντήρια Πιάτων,45cm,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ > Πλυντήρια Πιάτων > 45cm,https://www.etranoulis.gr/index.php?route=product/category&path=162_166_273,,,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Πλυντήρια Πιάτων:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Πλυντήρια Πιάτων///45cm,
57,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ,Πλυντήρια Πιάτων,60cm,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ > Πλυντήρια Πιάτων > 60cm,https://www.etranoulis.gr/oikiakes-syskeues/plynthria-piatwn/60cm,,,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Πλυντήρια Πιάτων:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Πλυντήρια Πιάτων///60cm,
58,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ,Πλυντήρια Πιάτων,Επιτραπέζια,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ > Πλυντήρια Πιάτων > Επιτραπέζια,https://www.etranoulis.gr/oikiakes-syskeues/plynthria-piatwn/epitrapezia,,,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Πλυντήρια Πιάτων:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Πλυντήρια Πιάτων///Επιτραπέζια,
59,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ,Ψυγεία & Καταψύκτες,Ψυγεία,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ > Ψυγεία & Καταψύκτες > Ψυγεία,https://www.etranoulis.gr/oikiakes-syskeues/psygeia-katapsyktes/psygeia,,,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Ψυγεία & Καταψύκτες:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Ψυγεία & Καταψύκτες///Ψυγεία,
60,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ,Ψυγεία & Καταψύκτες,Ψυγειοκαταψύκτες,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ > Ψυγεία & Καταψύκτες > Ψυγειοκαταψύκτες,https://www.etranoulis.gr/oikiakes-syskeues/psygeia-katapsyktes/psygeiokatapsyktes,,,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Ψυγεία & Καταψύκτες:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Ψυγεία & Καταψύκτες///Ψυγειοκαταψύκτες,
61,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ,Ψυγεία & Καταψύκτες,Ψυγεία Ντουλάπες,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ > Ψυγεία & Καταψύκτες > Ψυγεία Ντουλάπες,https://www.etranoulis.gr/oikiakes-syskeues/psygeia-katapsyktes/psygeia-ntoulapes,,,ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Ψυγεία & Καταψύκτες:::ΟΙΚΙΑΚΕΣ ΣΥΣΚΕΥΕΣ///Ψυγεία & Καταψύκτες///Ψυγεία Ντουλάπες,
